red=2304, ir=33992, green=584, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.345111
red=2294, ir=34003, green=583, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.360169
red=2294, ir=34009, green=584, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.376543
red=2303, ir=33992, green=569, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.391861
red=2283, ir=34001, green=568, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.408229
red=2299, ir=34002, green=574, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.423844
red=2315, ir=34006, green=557, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.439812
red=2287, ir=34011, green=572, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.454986
red=2291, ir=34012, green=559, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.470916
red=2292, ir=34001, green=577, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.486398
red=2292, ir=33989, green=575, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.502270
red=2299, ir=33976, green=556, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.517469
red=2301, ir=33990, green=560, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.533157
red=2315, ir=33999, green=579, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.548491
red=2295, ir=34000, green=575, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.565278
red=2294, ir=34008, green=560, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.579566
red=2309, ir=34010, green=563, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.595173
red=2299, ir=34009, green=580, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.609623
red=2303, ir=34009, green=577, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.625120
red=2297, ir=33994, green=578, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.640979
red=2299, ir=34018, green=575, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.657335
red=2298, ir=34004, green=577, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.672877
red=2286, ir=33995, green=566, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.689472
red=2300, ir=33996, green=567, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.705122
red=2295, ir=34001, green=580, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.720021
red=2289, ir=34004, green=578, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.736066
red=2296, ir=34006, green=574, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.752059
red=2283, ir=34002, green=569, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.767517
red=2312, ir=34015, green=586, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.783884
red=2294, ir=33999, green=574, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.799511
red=2308, ir=33992, green=581, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.815529
red=2286, ir=34004, green=564, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.829186
red=2300, ir=33997, green=565, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.844566
red=2292, ir=33993, green=568, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.861150
red=2303, ir=33998, green=558, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.876816
red=2295, ir=34008, green=573, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.892525
red=2304, ir=33990, green=581, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.908493
red=2322, ir=34005, green=574, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.924016
red=2299, ir=33991, green=573, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.940059
red=2296, ir=33994, green=569, HR=352, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.955231
red=2300, ir=34005, green=552, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.971662
red=2303, ir=34001, green=573, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:3.986748
red=2308, ir=34000, green=573, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.001383
red=2309, ir=33996, green=560, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.016103
red=2291, ir=34005, green=585, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.032665
red=2319, ir=34001, green=586, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.047224
red=2298, ir=33997, green=563, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.062332
red=2294, ir=34011, green=572, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.077372
red=2303, ir=34003, green=569, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.093747
red=2297, ir=33994, green=566, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.109956
red=2297, ir=33989, green=569, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.125821
red=2300, ir=33993, green=563, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.140970
red=2304, ir=33982, green=597, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.155937
red=2307, ir=33998, green=578, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.170824
red=2296, ir=33980, green=570, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.186574
red=2285, ir=34003, green=548, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.201812
red=2294, ir=34012, green=564, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.217384
red=2313, ir=34011, green=561, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.232271
red=2292, ir=34000, green=560, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.248453
red=2310, ir=34017, green=545, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.264230
red=2301, ir=33994, green=584, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.279883
red=2290, ir=34013, green=574, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.294169
red=2298, ir=34009, green=574, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.310642
red=2299, ir=34004, green=574, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.326170
red=2301, ir=34005, green=576, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.342579
red=2304, ir=33993, green=585, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.356867
red=2282, ir=33993, green=570, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.371490
red=2498, ir=34044, green=573, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.387865
red=2293, ir=34046, green=575, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.403880
red=2298, ir=33984, green=565, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.418559
red=2313, ir=33990, green=575, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.433789
red=2301, ir=33999, green=567, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.449305
red=2307, ir=34010, green=564, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.464737
red=2288, ir=34010, green=580, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.480417
red=2306, ir=33987, green=583, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.496757
red=2294, ir=34003, green=570, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.511590
red=2307, ir=33990, green=570, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.526518
red=2400, ir=34053, green=586, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.543127
red=2299, ir=34021, green=585, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.558937
red=2316, ir=34013, green=584, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.573834
red=2289, ir=33989, green=567, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.589689
red=2306, ir=33998, green=567, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.604857
red=2286, ir=33999, green=566, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.620603
red=2299, ir=34003, green=566, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.636166
red=2319, ir=33995, green=570, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.652215
red=2289, ir=34023, green=572, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.668003
red=2298, ir=34006, green=571, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.684972
red=2297, ir=33990, green=589, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.700195
red=2289, ir=33999, green=567, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.716007
red=2303, ir=34001, green=575, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.731872
red=2305, ir=33998, green=557, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.746890
red=2303, ir=34001, green=570, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.761619
red=2310, ir=34005, green=556, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.777908
red=2300, ir=34020, green=560, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.793750
red=2315, ir=34033, green=567, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.809348
red=2311, ir=34005, green=578, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.825023
red=2309, ir=34003, green=571, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.841369
red=2296, ir=34013, green=569, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.857069
red=2294, ir=33996, green=580, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.873005
red=2298, ir=33995, green=552, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.889014
red=2298, ir=33999, green=564, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.905301
red=2303, ir=34003, green=583, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.920794
red=2299, ir=34001, green=574, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.936943
red=2295, ir=33997, green=574, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.953173
red=2297, ir=33993, green=571, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.968478
red=2293, ir=34007, green=578, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.982841
red=2306, ir=33998, green=569, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:4.997653
red=2301, ir=34005, green=565, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.012702
red=2296, ir=34001, green=570, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.028567
red=2295, ir=34016, green=572, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.044385
red=2304, ir=34009, green=578, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.059718
red=2318, ir=34005, green=562, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.074635
red=2309, ir=34007, green=576, HR=333, HRvalid=1, SpO2=-999, SPO2Valid=0  time:5.091162
