red=2340, ir=34863, green=576, H=500, HRvalid=1, SpO2=-999, SPO2Valid=0  time:1.889081
red=2315, ir=34872, green=592, HR=500, HRvalid=1, SpO2=-999, SPO2Valid=0  time:1.899983
red=2333, ir=34875, green=592, HR=500, HRvalid=1, SpO2=-999, SPO2Valid=0  time:1.911035
red=2326, ir=34878, green=581, HR=500, HRvalid=1, SpO2=-999, SPO2Valid=0  time:1.921900
red=2337, ir=34883, green=584, HR=500, HRvalid=1, SpO2=-999, SPO2Valid=0  time:1.932906
red=2327, ir=34885, green=586, HR=500, HRvalid=1, SpO2=-999, SPO2Valid=0  time:1.944858
red=2331, ir=34869, green=586, HR=500, HRvalid=1, SpO2=-999, SPO2Valid=0  time:1.955817
red=2330, ir=34879, green=580, HR=500, HRvalid=1, SpO2=-999, SPO2Valid=0  time:1.966783
red=2324, ir=34892, green=582, HR=500, HRvalid=1, SpO2=-999, SPO2Valid=0  time:1.977749
red=2322, ir=34888, green=582, HR=500, HRvalid=1, SpO2=-999, SPO2Valid=0  time:1.988719
red=2316, ir=34870, green=596, HR=500, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.001682
red=2323, ir=34873, green=563, HR=500, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.015635
red=2333, ir=34880, green=590, HR=500, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.026728
red=2328, ir=34883, green=590, HR=500, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.037578
red=2326, ir=34876, green=576, HR=500, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.047814
red=2333, ir=34874, green=590, HR=500, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.058633
red=2321, ir=34878, green=588, HR=500, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.069814
red=2325, ir=34877, green=576, HR=500, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.080902
red=2349, ir=34867, green=572, HR=500, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.091109
red=2332, ir=34871, green=576, HR=500, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.102069
red=2305, ir=34887, green=583, HR=500, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.112435
red=2311, ir=34867, green=585, HR=500, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.123337
red=2321, ir=34883, green=578, HR=500, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.133923
red=2321, ir=34871, green=590, HR=500, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.144946
red=2315, ir=34888, green=577, HR=500, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.155218
