red=123352, ir=138470, green=1664, HR=81, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.351857
red=123419, ir=138642, green=16658, HR=81, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.362183
red=123485, ir=138853, green=16659, HR=81, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.372542
red=123545, ir=139043, green=16680, HR=81, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.382563
red=123622, ir=139280, green=16691, HR=81, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.393222
red=123730, ir=139461, green=16715, HR=81, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.403594
red=123752, ir=139661, green=16728, HR=81, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.413902
red=123810, ir=139764, green=16751, HR=81, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.424043
red=123846, ir=139853, green=16724, HR=81, HRvalid=1, SpO2=100, PO2Valid=1  time:2.445374
red=123874, ir=139926, green=16746, HR=81, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.457197
red=123877, ir=139920, green=16758, HR=81, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.468157
red=123883, ir=139942, green=16749, HR=81, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.479120
red=123908, ir=140015, green=16763, HR=81, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.490130
red=123953, ir=140098, green=16756, HR=81, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.502977
red=123990, ir=140186, green=16764, HR=81, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.516933
red=124006, ir=140295, green=16771, HR=81, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.527707
red=124061, ir=140358, green=16780, HR=81, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.538399
red=124053, ir=140370, green=16772, HR=81, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.549389
red=124065, ir=140402, green=16750, HR=81, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.559782
red=124073, ir=140372, green=16739, HR=81, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.570197
red=124034, ir=140338, green=16704, HR=81, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.580752
red=124041, ir=140286, green=16661, HR=81, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.591591
red=124013, ir=140212, green=16706, HR=81, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.601926
red=123996, ir=140169, green=16703, HR=81, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.612861
red=123963, ir=140125, green=16675, HR=81, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.623076
