red=121582, ir=128994, green=12626, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.893099
red=121619, ir=129030, green=12650, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.903903
red=121640, ir=129067, green=12653, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.914518
red=121647, ir=129128, green=12681, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.924879
red=121686, ir=129165, green=12712, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.935995
red=121679, ir=129193, green=12722, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.946165
red=121713, ir=129214, green=12733, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.956497
red=121708, ir=129258, green=12727, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.967262
red=121717, ir=129269, green=12757, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.977892
red=121744, ir=129304, green=12776, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.988667
red=121771, ir=129353, green=12785, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:2.999493
red=121762, ir=129361, green=12791, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.010827
red=121774, ir=129397, green=12827, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.021092
red=121788, ir=129422, green=12814, HR=83, HRvalid=1, SpO2=99, SO2Valid=1  time:3.042235
red=121810, ir=129440, green=12841, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.052373
red=121798, ir=129458, green=12816, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.063417
red=121827, ir=129513, green=12855, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.074352
red=121844, ir=129522, green=12858, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.084488
red=121867, ir=129582, green=12902, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.095581
red=121901, ir=129626, green=12866, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.106518
red=121922, ir=129675, green=12923, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.117446
red=121924, ir=129714, green=12914, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.128219
red=121936, ir=129744, green=12950, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.139472
red=121947, ir=129752, green=12937, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.149681
red=121927, ir=129719, green=12960, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.160487
red=121869, ir=129537, green=12923, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.171159
red=121773, ir=129305, green=12854, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.182034
red=121658, ir=129045, green=12784, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.192554
red=121531, ir=128737, green=12663, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.203181
red=121398, ir=128445, green=12555, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.213985
red=121284, ir=128183, green=12388, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.224497
red=121182, ir=127945, green=12303, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.234964
red=121121, ir=127770, green=12172, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.245267
red=121068, ir=127640, green=12121, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.255739
red=121020, ir=127551, green=12059, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.266448
red=120996, ir=127493, green=12064, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.277387
red=120991, ir=127518, green=12028, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.288266
red=121007, ir=127535, green=12043, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.298445
red=121050, ir=127629, green=12062, HR=83, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.309760
red=121079, ir=127701, green=12082, HR=83, HRvalid=1, SpO2=99, SO2Valid=1  time:3.331580
red=121104, ir=127798, green=1217, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.366680
red=121165, ir=127873, green=12147, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.377660
red=121195, ir=127960, green=12207, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.388626
red=121233, ir=128017, green=12205, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.398690
red=121257, ir=128084, green=12247, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.409612
red=121261, ir=128124, green=12268, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.420537
red=121278, ir=128190, green=12308, HR=82, HRvalid=1, SpO2=99, SPO2Valid=1  time:3.431364
