red=127218, ir=143049, green=1879, HR=92, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.736055
red=127244, ir=143064, green=18744, HR=92, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.746176
red=127231, ir=143030, green=18731, HR=92, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.756434
red=127215, ir=143040, green=18747, HR=92, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.766596
red=127226, ir=143052, green=18737, HR=92, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.777501
red=127207, ir=143048, green=18757, HR=92, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.788482
red=127199, ir=143049, green=18737, HR=92, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.799741
red=127207, ir=143027, green=18773, HR=92, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.810475
red=127210, ir=143033, green=18735, HR=92, HRvalid=1, SpO2=100, PO2Valid=1  time:2.830808
red=127224, ir=143049, green=18752, HR=92, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.840944
red=127207, ir=143042, green=18738, HR=92, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.851953
red=127217, ir=143075, green=18759, HR=92, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.862089
red=127225, ir=143066, green=18749, HR=92, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.872433
red=127235, ir=143056, green=18745, HR=92, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.882827
red=127227, ir=143069, green=18750, HR=92, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.893353
red=127226, ir=143096, green=18753, HR=92, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.904539
red=127246, ir=143074, green=18757, HR=92, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.914469
red=127271, ir=143084, green=18755, HR=92, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.925490
red=127261, ir=143097, green=18754, HR=92, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.936213
red=127287, ir=143108, green=18771, HR=92, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.946519
red=127263, ir=143121, green=18758, HR=92, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.956824
