red=2325, ir=34965, green=574, H=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.134165
red=2338, ir=34971, green=583, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.145126
red=2351, ir=34975, green=571, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.156140
red=2318, ir=34970, green=572, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.167031
red=2335, ir=34970, green=583, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.178031
red=2338, ir=34960, green=583, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.189049
red=2329, ir=34986, green=571, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.199189
red=2347, ir=34975, green=586, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.210093
red=2324, ir=34978, green=593, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.221004
red=2327, ir=34976, green=579, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.231883
red=2324, ir=34982, green=581, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.242659
red=2337, ir=34972, green=584, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.253330
red=2327, ir=34985, green=572, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.263515
red=2339, ir=34985, green=597, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.274806
red=2337, ir=34982, green=593, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.285457
red=2340, ir=34966, green=579, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.295846
red=2335, ir=34978, green=577, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.306769
red=2343, ir=34971, green=590, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.317194
red=2334, ir=34975, green=573, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.327799
red=2327, ir=34957, green=584, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.338712
red=2333, ir=34983, green=588, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.349021
red=2340, ir=34959, green=583, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.359696
red=2337, ir=34963, green=584, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.370662
red=2342, ir=34979, green=575, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.380830
red=2330, ir=34972, green=588, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.391667
red=2323, ir=34962, green=579, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.402506
red=2345, ir=34972, green=592, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.413609
red=2344, ir=34971, green=585, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.424562
red=2334, ir=34971, green=564, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.435466
red=2332, ir=34977, green=591, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.445707
red=2334, ir=34968, green=584, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.456670
red=2346, ir=34963, green=588, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.467686
red=2329, ir=34983, green=580, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.478600
red=2339, ir=34975, green=589, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.489682
red=2339, ir=34968, green=593, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.500613
red=2338, ir=34974, green=575, HR=461, HRvalid=1, SpO2=-999, SPOValid=0  time:2.522087
red=2353, ir=34966, green=590, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.532776
red=2335, ir=34973, green=571, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.543808
red=2336, ir=34970, green=579, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.554695
red=2342, ir=34987, green=592, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.565618
red=2334, ir=34967, green=591, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.576605
red=2335, ir=34970, green=579, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.587574
red=2352, ir=34978, green=573, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.598579
red=2337, ir=34973, green=581, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.609618
red=2337, ir=34973, green=571, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.620452
red=2338, ir=34967, green=582, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.631536
red=2342, ir=34965, green=576, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.641623
red=2329, ir=34943, green=587, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.652497
red=2317, ir=34964, green=578, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.664221
red=2333, ir=34960, green=581, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.674595
red=2336, ir=34977, green=584, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.685532
red=2343, ir=34951, green=575, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.696425
red=2331, ir=34948, green=579, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.707489
red=2331, ir=34979, green=588, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.718621
red=2327, ir=34975, green=574, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.729404
red=2330, ir=34983, green=570, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.740355
red=2329, ir=34986, green=572, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.751527
red=2334, ir=34968, green=579, HR=461, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.762242
