red=121417, ir=137103, green=1871, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.615230
red=121420, ir=137138, green=18703, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.626311
red=121429, ir=137156, green=18709, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.637261
red=121444, ir=137160, green=18696, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.648205
red=121433, ir=137195, green=18722, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.659217
red=121467, ir=137217, green=18713, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.670190
red=121465, ir=137221, green=18715, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.681129
red=121472, ir=137259, green=18700, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.692089
red=121447, ir=137244, green=18725, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.703408
red=121476, ir=137274, green=18718, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.714015
red=121473, ir=137283, green=18722, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.724966
red=121461, ir=137288, green=18716, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.735443
red=121456, ir=137295, green=18721, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.746454
red=121489, ir=137332, green=18711, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.757534
red=121478, ir=137320, green=18720, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.768463
red=121473, ir=137306, green=18735, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.779978
red=121486, ir=137361, green=18731, HR=176, HRvalid=1, SpO2=100,SPO2Valid=1  time:2.801321
red=121475, ir=137325, green=18723, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.812599
red=121480, ir=137336, green=18724, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.823525
red=121487, ir=137330, green=18734, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.834154
red=121470, ir=137286, green=18738, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.844636
red=121451, ir=137256, green=18721, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.856292
red=121421, ir=137154, green=18711, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.866650
red=121350, ir=137024, green=18692, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.877623
red=121368, ir=136941, green=18684, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.887789
red=121328, ir=136858, green=18661, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.898589
red=121292, ir=136794, green=18669, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.909526
red=121265, ir=136774, green=18661, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.920540
red=121260, ir=136763, green=18669, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.931516
red=121279, ir=136760, green=18667, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.941664
red=121290, ir=136788, green=18658, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.952646
red=121290, ir=136810, green=18673, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.963398
red=121298, ir=136885, green=18663, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.974419
red=121314, ir=136916, green=18688, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.985569
red=121323, ir=136977, green=18680, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:2.996531
red=121348, ir=137015, green=18694, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:3.007262
red=121361, ir=137034, green=18693, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:3.018291
red=121369, ir=137078, green=18689, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:3.029188
red=121377, ir=137114, green=18704, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:3.040186
red=121390, ir=137140, green=18692, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:3.051234
red=121384, ir=137145, green=18695, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:3.062115
red=121386, ir=137140, green=18700, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:3.073129
red=121389, ir=137156, green=18695, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:3.084036
red=121366, ir=137172, green=18705, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:3.094968
red=121396, ir=137197, green=18702, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:3.105985
red=121395, ir=137220, green=18718, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:3.117187
red=121424, ir=137240, green=18705, HR=176, HRvalid=1, SpO2=100,SPO2Valid=1  time:3.138884
red=121407, ir=137260, green=18719, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:3.151057
red=121422, ir=137263, green=18728, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:3.160837
red=121400, ir=137260, green=18718, HR=176, HRvalid=1, SpO2=100, SPO2Valid=1  time:3.171833
