red=2543, ir=40188, green=638, H=146, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.004277
red=2541, ir=40183, green=625, HR=146, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.014996
red=2534, ir=40179, green=621, HR=146, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.026037
red=2536, ir=40184, green=629, HR=146, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.037958
red=2535, ir=40188, green=620, HR=146, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.051894
red=2539, ir=40168, green=621, HR=146, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.062134
red=2541, ir=40190, green=629, HR=146, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.072919
red=2534, ir=40196, green=637, HR=146, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.084127
red=2520, ir=40189, green=623, HR=146, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.094846
red=2528, ir=40192, green=624, HR=146, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.105883
red=2545, ir=40166, green=634, HR=146, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.116701
red=2535, ir=40196, green=619, HR=146, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.127889
red=2533, ir=40193, green=615, HR=146, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.138722
red=2528, ir=40168, green=629, HR=146, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.149617
red=2543, ir=40141, green=619, HR=146, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.160642
red=2535, ir=40141, green=624, HR=146, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.171559
red=2539, ir=40129, green=630, HR=146, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.182565
red=2535, ir=40133, green=640, HR=146, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.192759
red=2533, ir=40125, green=623, HR=146, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.203567
red=2538, ir=40119, green=637, HR=146, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.214587
red=2532, ir=40129, green=628, HR=146, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.224746
red=2541, ir=40106, green=615, HR=146, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.235452
red=2545, ir=40106, green=620, HR=146, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.245639
red=2522, ir=40140, green=632, HR=146, HRvalid=1, SpO2=-999, SPO2Valid=0  time:2.256605
