red=115141, ir=130291, green=1632, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:2.726284
red=115155, ir=130284, green=16303, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:2.737298
red=115146, ir=130300, green=16292, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:2.748259
red=115127, ir=130284, green=16310, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:2.759280
red=115151, ir=130269, green=16299, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:2.770223
red=115152, ir=130251, green=16303, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:2.781153
red=115151, ir=130260, green=16300, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:2.792187
red=115191, ir=130248, green=16291, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:2.803148
red=115204, ir=130250, green=16296, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:2.814054
red=115197, ir=130225, green=16282, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:2.825023
red=115212, ir=130241, green=16263, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:2.836040
red=115220, ir=130231, green=16286, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:2.846988
red=115234, ir=130256, green=16299, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:2.857909
red=115218, ir=130252, green=16307, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:2.869216
red=115220, ir=130244, green=16297, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:2.879882
red=115259, ir=130230, green=16297, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:2.890924
red=115261, ir=130221, green=16302, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:2.901796
red=115251, ir=130250, green=16319, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:2.912789
red=115270, ir=130242, green=16298, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:2.923841
red=115284, ir=130245, green=16288, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:2.934765
red=115292, ir=130222, green=16293, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:2.945936
red=115292, ir=130228, green=16287, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:2.956753
red=115282, ir=130253, green=16303, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:2.967688
red=115265, ir=130266, green=16299, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:2.978700
red=115269, ir=130265, green=16312, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:2.989724
red=115264, ir=130251, green=16301, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.000562
red=115265, ir=130285, green=16300, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.011527
red=115260, ir=130266, green=16317, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.023262
red=115259, ir=130287, green=16300, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.033532
red=115261, ir=130281, green=16293, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.044450
red=115274, ir=130290, green=16303, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.055451
red=115266, ir=130294, green=16302, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.066420
red=115274, ir=130315, green=16310, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.077416
red=115266, ir=130326, green=16312, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.088357
red=115250, ir=130306, green=16302, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.099361
red=115270, ir=130306, green=16307, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.110520
red=115261, ir=130335, green=16306, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.121278
red=115275, ir=130324, green=16321, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.132274
red=115278, ir=130317, green=16339, HR=83, HRvalid=1, SpO2=94, SO2Valid=1  time:3.153732
red=115267, ir=130306, green=16334, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.164616
red=115282, ir=130333, green=16343, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.174851
red=115281, ir=130283, green=16329, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.185644
red=115270, ir=130217, green=16326, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.196617
red=115227, ir=130119, green=16347, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.208633
red=115197, ir=130046, green=16303, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.218570
red=115182, ir=129977, green=16286, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.229448
red=115178, ir=129916, green=16281, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.240139
red=115152, ir=129835, green=16259, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.250923
red=115135, ir=129752, green=16249, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.261916
red=115127, ir=129723, green=16213, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.272858
red=115145, ir=129745, green=16217, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.283889
red=115164, ir=129780, green=16218, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.294836
red=115220, ir=129816, green=16253, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.305756
red=115243, ir=129867, green=16261, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.316044
red=115274, ir=129903, green=16261, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.326977
red=115348, ir=129962, green=16241, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.337969
red=115385, ir=130009, green=16263, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.348954
red=115411, ir=130045, green=16278, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.359889
red=115443, ir=130078, green=16260, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.371053
red=115475, ir=130100, green=16267, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.381946
red=115490, ir=130133, green=16270, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.392846
red=115519, ir=130157, green=16286, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.403753
red=115529, ir=130203, green=16289, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.414856
red=115552, ir=130197, green=16290, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.425720
red=115565, ir=130224, green=16279, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.436735
red=115590, ir=130244, green=16300, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.447283
red=115600, ir=130270, green=16277, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.458270
red=115605, ir=130273, green=16299, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.469113
red=115587, ir=130288, green=16294, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.480172
red=115604, ir=130268, green=16307, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.491066
red=115594, ir=130279, green=16289, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.502049
red=115589, ir=130284, green=16298, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.512276
red=115586, ir=130297, green=16311, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.523014
red=115586, ir=130294, green=16312, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.534013
red=115572, ir=130270, green=16304, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.545170
red=115566, ir=130271, green=16314, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.555977
red=115560, ir=130293, green=16333, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.566917
red=115546, ir=130302, green=16348, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.577076
red=115533, ir=130295, green=16347, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.587819
red=115516, ir=130305, green=16325, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.598875
red=115523, ir=130327, green=16350, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.609905
red=115553, ir=130335, green=16349, HR=83, HRvalid=1, SpO2=94, SO2Valid=1  time:3.631966
red=115554, ir=130349, green=16356, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.642905
red=115559, ir=130360, green=16368, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.653668
red=115559, ir=130396, green=16352, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.664679
red=115575, ir=130398, green=16352, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.675720
red=115594, ir=130404, green=16364, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.686711
red=115603, ir=130426, green=16370, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.697581
red=115570, ir=130437, green=16361, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.708535
red=115576, ir=130422, green=16367, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.719544
red=115559, ir=130448, green=16357, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.730484
red=115580, ir=130468, green=16379, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.741538
red=115563, ir=130447, green=16366, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.752625
red=115538, ir=130428, green=16361, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.763498
red=115541, ir=130437, green=16343, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.774340
red=115522, ir=130461, green=16324, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.785710
red=115529, ir=130467, green=16338, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.796307
red=115522, ir=130476, green=16329, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.807239
red=115497, ir=130459, green=16339, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.818202
red=115502, ir=130464, green=16300, HR=83, HRvalid=1, SpO2=94, SPO2Valid=1  time:3.829204
red=115475, ir=130474, green=1636, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:3.868074
red=115441, ir=130484, green=16302, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:3.878292
red=115446, ir=130496, green=16294, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:3.889110
red=115438, ir=130478, green=16310, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:3.899628
red=115418, ir=130486, green=16312, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:3.910113
red=115404, ir=130501, green=16308, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:3.921045
red=115380, ir=130502, green=16310, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:3.932109
red=115366, ir=130494, green=16328, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:3.943056
red=115367, ir=130473, green=16332, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:3.954074
red=115351, ir=130495, green=16331, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:3.965010
red=115330, ir=130468, green=16332, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:3.975987
red=115336, ir=130489, green=16340, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:3.986969
red=115354, ir=130497, green=16325, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:3.997916
red=115346, ir=130472, green=16318, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.008853
red=115332, ir=130501, green=16316, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.019867
red=115359, ir=130489, green=16309, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.030853
red=115360, ir=130488, green=16322, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.041810
red=115335, ir=130471, green=16319, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.052752
red=115307, ir=130422, green=16300, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.064091
red=115305, ir=130327, green=16289, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.074912
red=115269, ir=130259, green=16267, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.085669
red=115233, ir=130189, green=16279, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.097087
red=115204, ir=130137, green=16279, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.107837
red=115159, ir=130064, green=16255, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.118586
red=115145, ir=130025, green=16243, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.129567
red=115145, ir=130053, green=16252, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.140746
red=115157, ir=130066, green=16266, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.151571
red=115148, ir=130091, green=16267, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.162467
red=115175, ir=130118, green=16283, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.173495
red=115180, ir=130162, green=16280, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.184405
red=115185, ir=130172, green=16296, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.195354
red=115222, ir=130191, green=16305, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.206330
red=115243, ir=130254, green=16298, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.217431
red=115245, ir=130236, green=16312, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.228313
red=115242, ir=130270, green=16311, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.239265
red=115288, ir=130285, green=16299, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.250075
red=115300, ir=130310, green=16326, HR=101, HRvalid=1, SpO2=86, PO2Valid=1  time:4.271227
red=115278, ir=130298, green=16338, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.282147
red=115286, ir=130313, green=16330, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.293200
red=115296, ir=130320, green=16316, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.304116
red=115304, ir=130317, green=16324, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.315076
red=115308, ir=130344, green=16318, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.326006
red=115302, ir=130341, green=16338, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.337026
red=115298, ir=130313, green=16317, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.347943
red=115284, ir=130307, green=16319, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.358899
red=115307, ir=130345, green=16331, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.369945
red=115320, ir=130356, green=16323, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.380863
red=115317, ir=130349, green=16326, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.391848
red=115312, ir=130299, green=16321, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.402904
red=115306, ir=130284, green=16317, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.413820
red=115342, ir=130286, green=16305, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.424764
red=115348, ir=130305, green=16317, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.435826
red=115330, ir=130303, green=16321, HR=101, HRvalid=1, SpO2=86, SPO2Valid=1  time:4.445968
