ed=2705, ir=40764, green=717, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.938509

ed=2703, ir=40761, green=701, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.949446

ed=2728, ir=40755, green=701, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.960859

ed=2724, ir=40745, green=740, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.971254

ed=2719, ir=40753, green=715, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.982258

ed=2715, ir=40758, green=718, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:1.992700

ed=2718, ir=40744, green=720, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.002852

ed=2728, ir=40751, green=708, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.012918

ed=2715, ir=40749, green=706, HR=428, HRvalid=1, SpO2=-999, SPOValid=0,Time:2.033355

red=2706, ir=40745, green=716, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.044350

red=2703, ir=40769, green=708, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.056380

red=2721, ir=40768, green=719, HR=428, HRvalid=1, SpO2=-999, SPOValid=0,Time:2.065769

red=2711, ir=40728, green=692, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.076715

red=2705, ir=40735, green=702, HR=428, HRvalid=1, SpO2=-999, SPOValid=0,Time:2.087273

red=2714, ir=40751, green=709, HR=428, HRvalid=1, SpO2=-999, SPOValid=0,Time:2.098073

red=2714, ir=40750, green=702, HR=428, HRvalid=1, SpO2=-999, SPOValid=0,Time:2.109009

red=2705, ir=40734, green=717, HR=428, HRvalid=1, SpO2=-999, SPOValid=0,Time:2.119966

red=2704, ir=40752, green=707, HR=428, HRvalid=1, SpO2=-999, SPOValid=0,Time:2.130734

red=2713, ir=40751, green=703, HR=428, HRvalid=1, SpO2=-999, SPOValid=0,Time:2.141237

red=2712, ir=40753, green=717, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.151999

red=2705, ir=40749, green=715, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.164241

red=2708, ir=40743, green=713, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.173851

red=2691, ir=40752, green=712, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.184557

red=2720, ir=40751, green=713, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.194827

red=2719, ir=40736, green=710, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.204862

red=2708, ir=40749, green=713, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.217237

red=2715, ir=40743, green=717, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.227415

red=2697, ir=40742, green=721, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.239559

red=2714, ir=40737, green=715, HR=428, HRvalid=1, SpO2=-999, SPOValid=0,Time:2.249138

red=2715, ir=40751, green=720, H=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.259270

ed=2709, ir=40765, green=701, HR=428, HRvalid=1, SpO2=-999, SPO2Valid=0,Time:2.271001

