red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.359172
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.370084
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.381203
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.392044
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.403215
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.414006
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.425043
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.435938
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.446895
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.457559
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.468481
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.479409
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.490432
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.501306
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.512265
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.523496
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.534339
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.545244
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.556114
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.567083
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.578071
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.589004
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.599107
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.610041
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.620437
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.631071
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.641935
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.652920
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.664156
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.674916
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.685840
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.696973
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.707836
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.718737
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.729709
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.740781
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.751686
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.762641
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.772827
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.783666
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.794567
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.805759
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.816432
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.827405
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.838423
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.849654
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.860330
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.871336
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.882309
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.893328
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.904475
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.915228
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.926257
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.937194
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.948154
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.959213
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.969266
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.980151
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:3.991427
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:4.001412
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:4.012149
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:4.023048
red=0, ir=0, green=0, HR=-999, HRvalid=0, SpO2=-999, SPO2Valid=0  time:4.033232
